StudyID,Study,Cost Type,Cost description,Arm
21983,Q001 - Study Group,subject,Visit 1,Standard Arm
21983,Q001 - Study Group,subject,Visit 22,Standard Arm
21983,Q001 - Study Group,subject,×þÞß 객 갞 갟,చ ఛ జ ఝ ఞ ట ×þÞß
21983,Q001 - Study Group,subject,óíèãçã1,x¡¢¤§1
21983,Q001 - Study Group,subject,óíèãçã1,갌 갍 갎 갏 감1
21983,Q001 - Study Group,subject,óíèãçã1,óíèãçã1
21983,Q001 - Study Group,subject,Visit 2,Standard Arm
21983,Q001 - Study Group,subject,Visit 23,Standard Arm
21983,Q001 - Study Group,subject,Screen,Standard Arm
21983,Q001 - Study Group,subject,亂 卵 欄 爛 蘭 鸞 嵐 濫,చ ఛ జ ఝ ఞ ట ×þÞß
21983,Q001 - Study Group,subject,갌 갍 갎 갏 감1,x¡¢¤§1
21983,Q001 - Study Group,subject,갌 갍 갎 갏 감1,óíèãçã1
21983,Q001 - Study Group,subject,Visit 3,Standard Arm
21983,Q001 - Study Group,subject,Visit 3,A2
21983,Q001 - Study Group,subject,Visit 24,Standard Arm
21983,Q001 - Study Group,subject,This is visit type of negotiation,చ ఛ జ ఝ ఞ ట ×þÞß
21983,Q001 - Study Group,subject,This is visit type of negotiation,Standard Arm
21983,Q001 - Study Group,subject,x¡¢¤§1,x¡¢¤§1
21983,Q001 - Study Group,subject,x¡¢¤§1,갌 갍 갎 갏 감1
21983,Q001 - Study Group,subject,x¡¢¤§1,óíèãçã1
21983,Q001 - Study Group,subject,Visit 4,Standard Arm
21983,Q001 - Study Group,subject,Visit 25,Standard Arm
21983,Q001 - Study Group,subject,Visit 5,Standard Arm
21983,Q001 - Study Group,subject,Visit 26,Standard Arm
21983,Q001 - Study Group,subject,Visit 27,Standard Arm
21983,Q001 - Study Group,subject,name,Standard Arm
21983,Q001 - Study Group,subject,Visit 28,Standard Arm
21983,Q001 - Study Group,subject,Visit 29,Standard Arm
21983,Q001 - Study Group,subject,Visit 6,Standard Arm
21983,Q001 - Study Group,subject,Visit 6,A2
21983,Q001 - Study Group,subject,Visit 30,Standard Arm
21983,Q001 - Study Group,subject,Visit 7,Standard Arm
21983,Q001 - Study Group,subject,Visit 7,A2
21983,Q001 - Study Group,subject,Visit 31,Standard Arm
21983,Q001 - Study Group,subject,Visit 8,Standard Arm
21983,Q001 - Study Group,subject,Visit 8,A2
21983,Q001 - Study Group,subject,Visit 32,Standard Arm
21983,Q001 - Study Group,subject,Visit 9,Standard Arm
21983,Q001 - Study Group,subject,Visit 9,A2
21983,Q001 - Study Group,subject,Visit 33,Standard Arm
21983,Q001 - Study Group,subject,Visit 10,Standard Arm
21983,Q001 - Study Group,subject,Visit 10,A2
21983,Q001 - Study Group,subject,Visit 34,Standard Arm
21983,Q001 - Study Group,subject,Visit 11,Standard Arm
